s1,s2,stance
تركيا تعلن ملاحقتها الزعيم الكردي السوري صالح مسلم أينما ذهب,تركيا تتوقف عن ملاحقة الزعيم الكردي السوري صالح مسلم,disagree
الإعفاء الإيراني يؤدي إلى تراجع سعر النفط,الإعفاء الجمركي يؤدي إلى تراجع سعر النفط,disagree
إنفوغرافيك.. أكبر خسائر الشركات الأميركية في يوم,إنفوغرافيك..الخسارة الأكبر للشركات الأمريكية في يوم,agree
سقوط 29 قتيلا فى سوق مزدحم بدمشق بعد هجوم بقذيفة صاورخية,هجوم بقذيفة صاورخية فى دمشق دون وقوع ضحايا,disagree
عوامل فنية ترفع الذهب,عوامل فنية تهبط بالذهب,disagree
الشرطة المغربية تُلقي القبض على شاب اعتدى على فتاة جنسياً,المغرب: الإفراج عن الشاب المعتدي على الفتاة جنسياً,disagree
الأمن السعودي يسقط طائرة لاسلكية ترفيهية صغيرة بمنطقة القصور الملكية,السعودية: اسقاط طائرة لاسلكية ترفيهية صغيرة بمنطقة القصور الملكية,agree
العدل الدولية تدين أحكام إعدام جماعية في مصر وتطالب بإعادتها,العدل الدولية تتجاهل أحكام الإعدام الجماعية في مصر,disagree
أسعار النفط تتراجع دون 74 دولارا,برميل النفط يتجاوز حاجز ٧٤ دولار,disagree
تعرض عشرات المهاجرين الغير شرعيين للغرق قبالة سواحل اليمن,نجاة شرات المهاجرين من الغرق لغرق قبالة سواحل اليمن,disagree
اختفاء جمال خاشقجي: الأمين العام للأمم المتحدة يطالب بكشف الحقيقة,مطالبات من الأمم المتحدة بكشف المزيد من التفاصيل في قضية جمال خاشقجي,agree
الليرة التركية تحطم الأرقام.. انهيار مستمر وأردوغان لايتزحزح,أردوغان يتمسك بقراراته والليرة تواصل التراجع,agree
حادث الطائرة التركية: مصرع ابنة رجل أعمال وصديقاتها بعد حفل في الإمارات,مصرع ابنة رجل أعمال وصديقاتها فى حادث الطائرة التركية بعد حضورهم لحفل في الإمارات,agree
واشنطن تفرض عقوبات على الأمين العام لحزب الله حسن نصر الله ومساعدين له,فرضت واشنطن عقوبات على حسن نصر الله الأمين العام لحزب الله ومساعدين له,agree
تباين الآراء بشأن إلغاء المدارس التجريبية في مصر,مصر: اختلاف الآراء بخصوص إلغاء المدارس التجريبية,agree
تسلا تستعد لإطلاق أول مصانعها في الصين,مصنع جديد لتسلا في الصين,agree
الدولار يرتفع معوضا خسائر التعاملات المبكرة,ارتفاع لسعر اليورو يعوض خسائر التعاملات المبكرة,disagree
إعتذار الرئيس الفلسطيني بعد تصريحاته عن محارق اليهود,الرئيس الفلسطيني يرفض الإعتذار بعد تصريحاته عن محارق اليهود,disagree
مصنع جديد لتسلا في الصين,الصين تغلق مصنع تسلا الأميركي,disagree
الليرة التركية تهوي إلى مستوى قياسي وسط تهديدات أميركية,صعود في قيمة الليرة التركية رغم التهديدات الأمريكية,disagree
بيل كوسبي يدفع مبلغ 3.4 مليون دولار ليحل أزمة اتهامه بالتحرش الجنسي,بيل كوسبي يدفع مبلغ 20 مليون دولار ليحل أزمة اتهامه بالتحرش الجنسي,disagree
الذهب يرتفع بفعل قرار ترامب,النفط يرتفع بفعل قرار ترامب,disagree
عشرة نجوم اقتحموا عالم السياسة: أحدثهم بطلة الجنس والمدينة,10 نجوم يشاركوا في السياسة آخرهم مخرج الجنس و المدينة ,disagree
حرب تجارية تهدد علاقات أميركا وأوروبا.. وبدء خطوات انتقامية,اشتعال فتيل حرب تجارية أميركية_أوروبية,agree
أول غرامة لسيدة في الدنمارك بسبب النقاب,فالدنمارك تدعم الحرية الشخصية في ارتداء النقاب,disagree
البحث في عقوبات جديدة بسبب برنامج الصواريخ الإيراني,ناقش مسؤولون أمريكيون التهم الموجهة لليمن بسبب برنامج الصواريخ,disagree
أدنوك توقع اتفاقيتي امتياز مع مؤسسة البترول الصينية,أدنوك و مؤسسة البترول السعودية توقعا اتفاقيتي امتياز,disagree
مصر بين انتخابات رئاسة شكلية وإنجازات يرجى استكمالها,مصر ما بين انتخابات رئاسة روتينية و إنجازات يتمنى الشعب استكمالها,agree
الخام الأميركي يهبط وعلاوة برنت ترتفع لأعلى مستوى,ارتفاع بالخام الأميركي وانخفاض لعلاوة برنت,disagree
كيف تحافظ واشنطن على التعاون التركي الإيراني الروسي في سوريا؟,واشنطن تهاجم التعاون التركي الإيراني الروسي في سوريا,disagree
هل يشكل اللادينيون ظاهرة في المغرب؟,اختفاء ظاهرة اللادينيون في المغرب,disagree
كندا تشتكي أميركا والسبب الرسوم على السلع التجارية,أميركا تشتكي كندا على خلفية الرسوم التجارية,disagree
ماكرون يظهر في فيلم يعرض بمهرجان كان السينمائي,ماكرون ظهر في فيلم عُرض بمهرجان كان السينمائي,agree
أوضح ترامب أن العشب الفلسطيني والإسرائيلي غير جاهزين للسلام,أعلن ترامب عن تأييده للسلام بين الفلسطينيون والإسرائليون,disagree
المخاوف بشأن إيران والنزاع في فنزويلا يسببان صعوداً مفاجئاً في أسعار النفط,انخفاض في أسعار النفط عالمياً رغم الأزمة الفنزويلية,disagree
شيدت السعودية دارا للأوبرا تكلفت 64 مليار دولار ضمن استثمارات ترفيهية,السعودية ترفض تشييد دار للأوبرا,disagree
